ticker,secShortName,return20
000003,中海可转换债券-A,0.00483937397035
000030,长城久利保本混合,0.0049347341611
001209,前海开源一带一路主题精选灵活配置混合-A,0.00524109014675
000304,长盛双月红1年期定开债券-C,0.00526361204591
000304,长盛双月红1年期定开债券-C,0.00526361204591
001206,广发聚惠灵活配置混合-A,0.00532859680284
000865,大成景利混合,0.00538461538462
000992,广发对冲套利定开混合,0.00539083557951
000992,广发对冲套利定开混合,0.00539083557951
001290,广发安泰回报混合,0.00550458715596
000111,易方达纯债1年定开债券-A,0.00560268929086
000481,华商双债丰利债-C,0.00560524746571
000406,汇添富双利增强债券-A,0.00564142194745
000189,易方达保本一号混合,0.00572519083969
000314,招商瑞丰灵活配置混合-A,0.0058792442859
001347,富国新收益灵活配置混合-C,0.0059880239521
000196,工银保本3号混合-B,0.00602001655505
000303,长盛双月红1年期定开债券-A,0.00623398804441
000303,长盛双月红1年期定开债券-A,0.00623398804441
000240,华安年年盈定开债券-C,0.00623903294989
001345,富国新收益灵活配置混合-A,0.00632911392405
000463,华商双债丰利债-A,0.00635124111409
001311,华安新回报灵活配置混合,0.00638686131387
001332,鹏华弘信灵活配置混合-C,0.006408470326
001199,创金合信聚利债券-A,0.00642201834862
001147,中欧瑾源灵活配置混合-C,0.00644317863479
000578,鑫元一年定开债-A,0.00645291389393
001285,易方达新鑫灵活配置混合-I,0.00646683562003
001200,创金合信聚利债券-C,0.00649350649351
001286,易方达新鑫灵活配置混合-E,0.00651810094248
001331,鹏华弘信灵活配置混合-A,0.00653211623817
001326,鹏华弘和灵活配置混合-C,0.0066498079985
001067,鹏华弘盛灵活配置混合-A,0.00669914738124
001205,建信稳健回报灵活配置混合,0.00671381255035
001325,鹏华弘和灵活配置混合-A,0.00673680324843
000579,鑫元一年定开债-C,0.00673881968552
000714,诺安稳健回报灵活配置混合-A,0.0067428906479
001146,中欧瑾源灵活配置混合-A,0.00679265000435
000973,新华增盈回报债券,0.00687285223368
000398,华富灵活配置混合,0.00688055044404
000143,鹏华双债加利债券,0.00691991638434
000195,工银保本3号混合-A,0.00696889671362
001261,中融新机遇灵活配置混合,0.00701402805611
000239,华安年年盈定开债券-A,0.00716568219231
001201,申万菱信安鑫回报灵活配置混合-A,0.00718132854578
000215,广发趋势灵活配置混合,0.00722044327243
000240,华安年年盈定开债券-C,0.00722092115535
000067,民生加银转债优选债券-A,0.00726668742863
000068,民生加银转债优选债券-C,0.00727694579203
001229,德邦福鑫灵活配置混合-A,0.00738672191694
001226,中邮稳健添利灵活配置混合,0.00746268656716
000927,博时大中华亚太精选股票-USD-现汇,0.00749464668094
001304,建信鑫安回报灵活配置混合,0.00769093185477
001104,华安新丝路主题股票,0.00773694390716
001148,申万菱信多策略灵活配置混合-A,0.00773852876912
000125,上投摩根天颐年丰混合-A,0.00790690735492
000372,中银惠利纯债半年定开债券,0.00794524858402
000507,泰达宏利养老收益混合-A,0.00795258458999
000171,易方达裕丰回报债券,0.0079575596817
000031,华夏复兴混合,0.00796359499431
001295,大成景源灵活配置混合-A,0.00799289520426
000452,南方医药保健灵活配置混合,0.00806679077114
000401,中融增鑫定开债券-C,0.00807102502018
001013,华夏希望债券-C,0.00807867931156
000508,泰达宏利养老收益混合-B,0.00812073852754
000667,工银绝对收益策略混合-A,0.00814479638009
000266,易方达恒久添利1年定开债券-C,0.00821167883212
000239,华安年年盈定开债券-A,0.0082396277627
000583,江信定开债,0.00838606388656
000672,工银绝对收益策略混合-B,0.00841121495327
001045,华夏可转债增强债券-A,0.00850661625709
001262,大成景明灵活配置混合-A,0.00858778625954
000959,东吴鼎元双债债券-C,0.00859598853868
001116,广发聚安混合-C,0.00866811135189
001169,国投新价值灵活配置混合,0.00869565217391
000275,广发亚太中高收益债券-USD,0.00879461976203
001011,华夏希望债券-A,0.00881784048242
000763,工银新财富灵活配置混合,0.00886162235855
000401,中融增鑫定开债券-C,0.00888529886914
001337,鹏华弘益灵活配置混合-C,0.00891600187705
000887,上投摩根稳进回报混合,0.00891730461849
000341,嘉实新兴市场债券-C2,0.00895255147717
001336,鹏华弘益灵活配置混合-A,0.00898148148148
001231,银华泰利灵活配置混合-A,0.0089928057554
001253,建信回报灵活配置混合,0.00900090009001
000265,易方达恒久添利1年定开债券-A,0.00902527075812
001189,广发聚宝混合,0.00911577028259
000690,前海开源大海洋战略经济灵活配置混合,0.00911854103343
000266,易方达恒久添利1年定开债券-C,0.00913242009132
000277,博时双月薪定期支付债券,0.0092060635426
000277,博时双月薪定期支付债券,0.0092060635426
000538,诺安优势行业灵活配置混合-A,0.00922367409685
001217,易方达新收益灵活配置混合-C,0.0093537414966
001318,东方新策略灵活配置混合-A,0.00948178745775
000692,汇添富双利债券-C,0.00954478707783
000400,中融增鑫定开债券-A,0.00956175298805
000958,东吴鼎元双债债券-A,0.0095785440613
001115,广发聚安混合-A,0.00960628775198
000367,国泰安康养老定期支付混合-A,0.00967261904762
001019,兴业年年利定开债券,0.00971763843051
000007,鹏华国企债债券,0.00971808790054
000213,泰信鑫益定开-C,0.00972991108874
000596,前海开源中证军工指数-A,0.00974930362117
000695,大成景益平稳收益混合,0.00978336827393
000226,长盛年年收益定开债-C,0.00980392156863
001343,易方达新享灵活配置混合-C,0.00987432675045
000265,易方达恒久添利1年定开债券-A,0.00993676603433
001260,广发安心回报混合,0.00994575045208
000817,中银安心回报半年定开债券,0.0100425223921
000817,中银安心回报半年定开债券,0.0100425223921
001216,易方达新收益灵活配置混合-A,0.0100840336134
000756,建信潜力新蓝筹股票,0.010152284264
001278,前海清洁能源灵活配置混合-A,0.0102917410904
000916,前海开源股息率100强等权重股票,0.0103357427548
000400,中融增鑫定开债券-A,0.0103668261563
000309,大摩品质生活精选股票,0.0104625550661
001342,易方达新享灵活配置混合-A,0.0104918032787
000225,长盛年年收益定开债-A,0.0105092966855
000226,长盛年年收益定开债-C,0.0106295993459
000064,大摩18个月定开债券,0.0106753967689
000583,江信定开债,0.0106976388783
000814,鑫元合享分级债券-A,0.0107393272388
000814,鑫元合享分级债券-A,0.0107393272388
000121,华夏永福养老理财混合-A,0.0108349267049
000971,诺安新经济股票,0.0109170305677
000780,鹏华医疗保健股票,0.0109289617486
000196,工银保本3号混合-B,0.0110413673145
000201,诺安泰鑫一年定期开放债券-A,0.0110844569443
000201,诺安泰鑫一年定期开放债券-A,0.0110844569443
000235,诺安稳固收益一年定开债券,0.01127434233
000235,诺安稳固收益一年定开债券,0.01127434233
000225,长盛年年收益定开债-A,0.0113268608414
000268,广发集利一年定开债券-C,0.011376146789
000268,广发集利一年定开债券-C,0.011376146789
001068,华融新锐灵活配置混合,0.0114464099896
000212,泰信鑫益定开-A,0.011470539693
000410,益民服务领先灵活配置混合,0.0115356885364
000064,大摩18个月定开债券,0.0116113406468
001258,兴业收益增强债券-C,0.011617515639
001296,长城转型成长灵活配置混合,0.0117302052786
001249,易方达新利灵活配置混合,0.0117753623188
000077,工银信用纯债一年定开债券-C,0.0118483412322
000077,工银信用纯债一年定开债券-C,0.0118483412322
000762,汇添富绝对收益策略定期开放混合,0.0118577075099
000065,国富焦点驱动灵活配置混合,0.011991755668
000372,中银惠利纯债半年定开债券,0.0120053708238
